考点大类,考点分支,题目类型,题目,A_选项,B_选项,C_选项,D_选项,答案
1）数据分析概述,"大数据的特征
",单选题,1【单选题】大数据背景下，数据支撑业务的目的是,A、建立数据科学,B、完成数据应用,C、配备数据硬件,D、吸纳数据人才,B
1）数据分析概述,"大数据的特征
",单选题,2【单选题】大数据时代，数据使用的关键是（）,A、数据收集,B、数据储存,C、数据分析,D、数据再利用,D
1）数据分析概述,"大数据的特征
",多选题,3【多选题】大数据在今天这个时间点上爆发的原因有哪些?,A、各种传感器无时无刻不在为我们提供大量的数据,B、各种监控设备无时无刻不在为我们提供大量的数据,C、各种智能设备无时无刻不在为我们提供大量的数据,D、互联网的收集和积累,ABCD
1）数据分析概述,"大数据的特征
",多选题,4【多选题】当前，大数据发展的特点是（）,A、规模较大,B、规模较小,C、增速很快,D、增速很慢,AC
1）数据分析概述,"大数据的特征
",多选题,5【多选题】关于大数据的来源，以下理解正确的是,A、大数据是数据量变积累达到质变的结果,B、数据的产生需要经历很长时间,C、我们每个人都是数据的制造者,D、当今的世界，基本上一切都可以用数字表达，所以叫数字化的世界,ACD
1）数据分析概述,"大数据的特征
",多选题,6【多选题】关于大数据的特征，叙述正确的是（）,A、海量的数据规模,B、快速的数据流转,C、多样的数据类型,D、价值密度高,ABC
1）数据分析概述,"前沿技术浅析
",单选题,1【单选题】智慧城市的构建，不包括（）,A、数字城市,B、物联网,C、联网监控,D、云计算,C
1）数据分析概述,"前沿技术浅析
",单选题,2【单选题】支撑大数据业务的基础是（）,A、数据应用,B、数据科学,C、数据人才,D、数据硬件,A
1）数据分析概述,"前沿技术浅析
",单选题,3【单选题】（）提供的支撑技术，有效解决了大数据分析、研发的问题，比如虚拟化技术、并行计算、海量存储和海量管理等。,A、点计算,B、线计算,C、云计算,D、面计算,C
1）数据分析概述,"前沿技术浅析
",单选题,4【单选题】大数据应用需依托的新技术有（）,A、大规模储存与计算,B、数据分析处理,C、智能化,D、三个选项都是,D
2）数据分析与计算机技术,"python编程基础
",单选题,"1【单选题】已知x='cpda',x*3的值是()",A、'cpda'*3,B、'cpdacpdacpda',C、'cpda3',D、'cpda cpda cpda',B
2）数据分析与计算机技术,"python编程基础
",单选题,2【单选题】表达式len('hello')的结果是(),A、'hello',B、5,C、4,"D、[0,5]",B
2）数据分析与计算机技术,"python编程基础
",单选题,"3【单选题】已知x=2,x*3表达式结果是()",A、8,B、222,C、4,D、6,D
2）数据分析与计算机技术,"python编程基础
",单选题,"4【单选题】已知x=[1,2,3,'abc'],则x的类型是()",A、列表,B、字符串,C、元组,D、数字,A
2）数据分析与计算机技术,"python编程基础
",单选题,"5【单选题】若表达式x=10,y=5,z=x-y,那么z的结果是()",A、x-y,B、5,C、-5,D、0,B
2）数据分析与计算机技术,"python编程基础
",单选题,"6【单选题】表达式x=[1,2,3,4,'数据分析','cpda'],x[4]的值是()",A、4,B、'cpda',C、'数据分析',"D、[1,2,3,4]",C
2）数据分析与计算机技术,"python编程基础
",多选题,7【多选题】下列属于python数据结构的是(),A、二叉树,B、字符串,C、字典,D、列表,BCD
2）数据分析与计算机技术,"数据可视化技术
",单选题,1【单选题】条形图与柱形图的区别在于,A、条形图是平面的，柱形图是立体的,B、条形图是二维的，柱形图是三维的,C、条形图数据各类别放在横轴，柱形图数据各类别放在纵轴,D、条形图数据各类别放在纵轴，柱形图数据各类别放在横轴,D
2）数据分析与计算机技术,"数据可视化技术
",单选题,2【单选题】气泡图主要用于描述,A、两个变量之间的相关关系,B、三个变量之间的相关关系,C、两个变量的对比关系,D、三个变量的对比关系,B
2）数据分析与计算机技术,"数据可视化技术
",单选题,3【单选题】描述急性心肌梗死患者的凝血酶浓度X与凝血时间Y的关系，宜绘制,A、条形图,B、直方图,C、散点图,D、饼图,C
2）数据分析与计算机技术,"数据可视化技术
",单选题,4【单选题】检查一组数据异常值最常用的统计图形是,A、柱状图,B、箱线图,C、帕累托图,D、气泡图,B
2）数据分析与计算机技术,"数据可视化技术
",单选题,5【单选题】对于大批量的数据，最适合描述其分布的图形是,A、条形图,B、茎叶图,C、直方图,D、饼图,C
2）数据分析与计算机技术,"数据可视化技术
",单选题,6【单选题】比较某病不同症状在不同性别间的构成，可用,A、折线图,B、条形图,C、雷达图,D、饼图,D
2）数据分析与计算机技术,"数据可视化技术
",多选题,7【多选题】下列可用于多维数据比较的图表类型有,A、雷达图,B、圆环图,C、散点图,D、柱形图,AB
