instant dteday windspeed casual registered
1 2011/1/1 0.160446 331 654
2 2011/1/2 0.248539 131 670
3 2011/1/3 0.248309 120 1229
4 2011/1/4 0.160296 108 1454
5 2011/1/5 0.1869 82 1518
6 2011/1/6 0.0895652 88 1518
7 2011/1/7 0.168726 148 1362
8 2011/1/8 0.266804 68 891
9 2011/1/9 0.36195 54 768
10 2011/1/10 0.223267 41 1280
11 2011/1/11 0.122132 43 1220
12 2011/1/12 0.304627 25 1137
13 2011/1/13 0.301 38 1368
14 2011/1/14 0.126548 54 1367
15 2011/1/15 0.15796300000000002 222 1026
16 2011/1/16 0.188433 251 953
17 2011/1/17 0.194017 117 883
18 2011/1/18 0.146775 9 674
19 2011/1/19 0.208317 78 1572
20 2011/1/20 0.195904 83 1844
21 2011/1/21 0.353242 75 1468
22 2011/1/22 0.17197 93 888
23 2011/1/23 0.2466 150 836
24 2011/1/24 0.15833 86 1330
25 2011/1/25 0.129796 186 1799
26 2011/1/26 0.29385 34 472
27 2011/1/27 0.113837 15 416
28 2011/1/28 0.1233 38 1129
29 2011/1/29 0.14536500000000002 123 975
30 2011/1/30 0.0739826 140 956
31 2011/1/31 0.187192 42 1459
32 2011/2/1 0.053213 47 1313
33 2011/2/2 0.264308 72 1454
34 2011/2/3 0.277752 61 1489
35 2011/2/4 0.127839 88 1620
36 2011/2/5 0.161079 100 905
37 2011/2/6 0.1418 354 1269
38 2011/2/7 0.045408300000000006 120 1592
39 2011/2/8 0.36195 64 1466
40 2011/2/9 0.188839 53 1552
41 2011/2/10 0.221935 47 1491
42 2011/2/11 0.10855 149 1597
43 2011/2/12 0.203367 288 1184
44 2011/2/13 0.260883 397 1192
45 2011/2/14 0.417908 208 1705
46 2011/2/15 0.291374 140 1675
47 2011/2/16 0.251791 218 1897
48 2011/2/17 0.230104 259 2216
49 2011/2/18 0.264925 579 2348
50 2011/2/19 0.507463 532 1103
51 2011/2/20 0.223235 639 1173
52 2011/2/21 0.307846 195 912
53 2011/2/22 0.195683 74 1376
54 2011/2/23 0.094113 139 1778
55 2011/2/24 0.250496 100 1707
56 2011/2/25 0.346539 120 1341
57 2011/2/26 0.186571 424 1545
58 2011/2/27 0.125248 694 1708
59 2011/2/28 0.289686 81 1365
60 2011/3/1 0.216425 137 1714
61 2011/3/2 0.307833 231 1903
62 2011/3/3 0.225754 123 1562
63 2011/3/4 0.203346 214 1730
64 2011/3/5 0.251871 640 1437
65 2011/3/6 0.343287 114 491
66 2011/3/7 0.341352 244 1628
67 2011/3/8 0.12065 316 1817
68 2011/3/9 0.22015 191 1700
69 2011/3/10 0.261877 46 577
70 2011/3/11 0.23297 247 1730
71 2011/3/12 0.220775 724 1408
72 2011/3/13 0.270604 982 1435
73 2011/3/14 0.136926 359 1687
74 2011/3/15 0.184309 289 1767
75 2011/3/16 0.203117 321 1871
76 2011/3/17 0.209579 424 2320
77 2011/3/18 0.231017 884 2355
78 2011/3/19 0.368167 1424 1693
79 2011/3/20 0.207721 1047 1424
80 2011/3/21 0.288783 401 1676
81 2011/3/22 0.22575 460 2243
82 2011/3/23 0.234261 203 1918
83 2011/3/24 0.243787 166 1699
84 2011/3/25 0.230725 300 1910
85 2011/3/26 0.209571 981 1515
86 2011/3/27 0.1843 472 1221
87 2011/3/28 0.212204 222 1806
88 2011/3/29 0.226996 317 2108
89 2011/3/30 0.172888 168 1368
90 2011/3/31 0.217646 179 1506
91 2011/4/1 0.258708 307 1920
92 2011/4/2 0.197146 898 1354
93 2011/4/3 0.182213 1651 1598
94 2011/4/4 0.385571 734 2381
95 2011/4/5 0.388067 167 1628
96 2011/4/6 0.263063 413 2395
97 2011/4/7 0.16231199999999998 571 2570
98 2011/4/8 0.226992 172 1299
99 2011/4/9 0.13308299999999998 879 1576
100 2011/4/10 0.146767 1188 1707
101 2011/4/11 0.324474 855 2493
102 2011/4/12 0.274879 257 1777
103 2011/4/13 0.25061700000000003 209 1953
104 2011/4/14 0.1107 529 2738
105 2011/4/15 0.226375 642 2484
106 2011/4/16 0.340808 121 674
107 2011/4/17 0.303496 1558 2186
108 2011/4/18 0.16356700000000002 669 2760
109 2011/4/19 0.157971 409 2795
110 2011/4/20 0.241925 613 3331
111 2011/4/21 0.325258 745 3444
112 2011/4/22 0.219521 177 1506
113 2011/4/23 0.230725 1462 2574
114 2011/4/24 0.192175 1710 2481
115 2011/4/25 0.185333 773 3300
116 2011/4/26 0.3265 678 3722
117 2011/4/27 0.3122 547 3325
118 2011/4/28 0.320908 569 3489
119 2011/4/29 0.240063 878 3717
120 2011/4/30 0.235075 1965 3347
121 2011/5/1 0.106354 1138 2213
122 2011/5/2 0.183454 847 3554
123 2011/5/3 0.342667 603 3848
124 2011/5/4 0.328996 255 2378
125 2011/5/5 0.295392 614 3819
126 2011/5/6 0.228246 894 3714
127 2011/5/7 0.16045 1612 3102
128 2011/5/8 0.0746375 1401 2932
129 2011/5/9 0.17600000000000002 664 3698
130 2011/5/10 0.115671 694 4109
131 2011/5/11 0.120642 550 3632
132 2011/5/12 0.189667 695 4169
133 2011/5/13 0.179725 692 3413
134 2011/5/14 0.13495 902 2507
135 2011/5/15 0.152979 1582 2971
136 2011/5/16 0.126871 773 3185
137 2011/5/17 0.277354 678 3445
138 2011/5/18 0.201492 536 3319
139 2011/5/19 0.10821300000000003 735 3840
140 2011/5/20 0.125013 909 4008
141 2011/5/21 0.12065 2258 3547
142 2011/5/22 0.148008 1576 3084
143 2011/5/23 0.233842 836 3438
144 2011/5/24 0.207092 659 3833
