dteday,windspeed,casual,registered,cnt,Label
2011/1/1,0.160446,331,654,985,Normal
2011/1/2,0.248539,131,670,801,Normal
2011/1/3,0.248309,120,1229,1349,Normal
2011/1/4,0.160296,108,1454,1562,Normal
2011/1/5,0.1869,82,1518,1600,Normal
2011/1/6,0.0895652,88,1518,1606,Normal
2011/1/7,0.168726,148,1362,1510,Normal
2011/1/8,0.266804,68,891,959,Normal
2011/1/9,0.36195,54,768,822,Big
2011/1/10,0.223267,41,1280,1321,Normal
2011/1/11,0.122132,43,1220,1263,Normal
2011/1/12,0.304627,25,1137,1162,Little
2011/1/13,0.301,38,1368,1406,Little
2011/1/14,0.126548,54,1367,1421,Normal
2011/1/15,0.157963,222,1026,1248,Normal
2011/1/16,0.188433,251,953,1204,Normal
2011/1/17,0.194017,117,883,1000,Normal
2011/1/18,0.146775,9,674,683,Normal
2011/1/19,0.208317,78,1572,1650,Normal
2011/1/20,0.195904,83,1844,1927,Normal
2011/1/21,0.353242,75,1468,1543,Big
2011/1/22,0.17197,93,888,981,Normal
2011/1/23,0.2466,150,836,986,Normal
2011/1/24,0.15833,86,1330,1416,Normal
2011/1/25,0.129796,186,1799,1985,Normal
2011/1/26,0.29385,34,472,506,Normal
2011/1/27,0.113837,15,416,431,Normal
2011/1/28,0.1233,38,1129,1167,Normal
2011/1/29,0.145365,123,975,1098,Normal
2011/1/30,0.0739826,140,956,1096,Normal
2011/1/31,0.187192,42,1459,1501,Normal
2011/2/1,0.053213,47,1313,1360,Normal
2011/2/2,0.264308,72,1454,1526,Normal
2011/2/3,0.277752,61,1489,1550,Normal
2011/2/4,0.127839,88,1620,1708,Normal
2011/2/5,0.161079,100,905,1005,Normal
2011/2/6,0.1418,354,1269,1623,Normal
2011/2/7,0.04540830000000001,120,1592,1712,Normal
2011/2/8,0.36195,64,1466,1530,Big
2011/2/9,0.188839,53,1552,1605,Normal
2011/2/10,0.221935,47,1491,1538,Normal
2011/2/11,0.10855,149,1597,1746,Normal
2011/2/12,0.203367,288,1184,1472,Normal
2011/2/13,0.260883,397,1192,1589,Normal
2011/2/14,0.417908,208,1705,1913,Strong
2011/2/15,0.291374,140,1675,1815,Normal
2011/2/16,0.251791,218,1897,2115,Normal
2011/2/17,0.230104,259,2216,2475,Normal
2011/2/18,0.264925,579,2348,2927,Normal
2011/2/19,0.507463,532,1103,1635,
2011/2/20,0.223235,639,1173,1812,Normal
2011/2/21,0.307846,195,912,1107,Little
2011/2/22,0.195683,74,1376,1450,Normal
2011/2/23,0.094113,139,1778,1917,Normal
2011/2/24,0.250496,100,1707,1807,Normal
2011/2/25,0.346539,120,1341,1461,Little
2011/2/26,0.186571,424,1545,1969,Normal
2011/2/27,0.125248,694,1708,2402,Normal
2011/2/28,0.289686,81,1365,1446,Normal
2011/3/1,0.216425,137,1714,1851,Normal
2011/3/2,0.307833,231,1903,2134,Little
2011/3/3,0.225754,123,1562,1685,Normal
2011/3/4,0.203346,214,1730,1944,Normal
2011/3/5,0.251871,640,1437,2077,Normal
2011/3/6,0.343287,114,491,605,Little
2011/3/7,0.341352,244,1628,1872,Little
2011/3/8,0.12065,316,1817,2133,Normal
2011/3/9,0.22015,191,1700,1891,Normal
2011/3/10,0.261877,46,577,623,Normal
2011/3/11,0.23297,247,1730,1977,Normal
2011/3/12,0.220775,724,1408,2132,Normal
2011/3/13,0.270604,982,1435,2417,Normal
2011/3/14,0.136926,359,1687,2046,Normal
2011/3/15,0.184309,289,1767,2056,Normal
2011/3/16,0.203117,321,1871,2192,Normal
2011/3/17,0.209579,424,2320,2744,Normal
2011/3/18,0.231017,884,2355,3239,Normal
2011/3/19,0.368167,1424,1693,3117,Big
2011/3/20,0.207721,1047,1424,2471,Normal
2011/3/21,0.288783,401,1676,2077,Normal
2011/3/22,0.22575,460,2243,2703,Normal
2011/3/23,0.234261,203,1918,2121,Normal
2011/3/24,0.243787,166,1699,1865,Normal
2011/3/25,0.230725,300,1910,2210,Normal
2011/3/26,0.209571,981,1515,2496,Normal
2011/3/27,0.1843,472,1221,1693,Normal
2011/3/28,0.212204,222,1806,2028,Normal
2011/3/29,0.226996,317,2108,2425,Normal
2011/3/30,0.172888,168,1368,1536,Normal
2011/3/31,0.217646,179,1506,1685,Normal
2011/4/1,0.258708,307,1920,2227,Normal
2011/4/2,0.197146,898,1354,2252,Normal
2011/4/3,0.182213,1651,1598,3249,Normal
2011/4/4,0.385571,734,2381,3115,Big
2011/4/5,0.388067,167,1628,1795,Big
2011/4/6,0.263063,413,2395,2808,Normal
2011/4/7,0.162312,571,2570,3141,Normal
2011/4/8,0.226992,172,1299,1471,Normal
2011/4/9,0.133083,879,1576,2455,Normal
2011/4/10,0.146767,1188,1707,2895,Normal
2011/4/11,0.324474,855,2493,3348,Little
2011/4/12,0.274879,257,1777,2034,Normal
2011/4/13,0.250617,209,1953,2162,Normal
2011/4/14,0.1107,529,2738,3267,Normal
2011/4/15,0.226375,642,2484,3126,Normal
2011/4/16,0.340808,121,674,795,Little
2011/4/17,0.303496,1558,2186,3744,Little
2011/4/18,0.163567,669,2760,3429,Normal
2011/4/19,0.157971,409,2795,3204,Normal
2011/4/20,0.241925,613,3331,3944,Normal
2011/4/21,0.325258,745,3444,4189,Little
2011/4/22,0.219521,177,1506,1683,Normal
2011/4/23,0.230725,1462,2574,4036,Normal
2011/4/24,0.192175,1710,2481,4191,Normal
2011/4/25,0.185333,773,3300,4073,Normal
2011/4/26,0.3265,678,3722,4400,Little
2011/4/27,0.3122,547,3325,3872,Little
2011/4/28,0.320908,569,3489,4058,Little
2011/4/29,0.240063,878,3717,4595,Normal
2011/4/30,0.235075,1965,3347,5312,Normal
2011/5/1,0.106354,1138,2213,3351,Normal
2011/5/2,0.183454,847,3554,4401,Normal
2011/5/3,0.342667,603,3848,4451,Little
2011/5/4,0.328996,255,2378,2633,Little
2011/5/5,0.295392,614,3819,4433,Normal
2011/5/6,0.228246,894,3714,4608,Normal
2011/5/7,0.16045,1612,3102,4714,Normal
2011/5/8,0.0746375,1401,2932,4333,Normal
2011/5/9,0.176,664,3698,4362,Normal
2011/5/10,0.115671,694,4109,4803,Normal
2011/5/11,0.120642,550,3632,4182,Normal
2011/5/12,0.189667,695,4169,4864,Normal
2011/5/13,0.179725,692,3413,4105,Normal
2011/5/14,0.13495,902,2507,3409,Normal
2011/5/15,0.152979,1582,2971,4553,Normal
2011/5/16,0.126871,773,3185,3958,Normal
2011/5/17,0.277354,678,3445,4123,Normal
2011/5/18,0.201492,536,3319,3855,Normal
2011/5/19,0.108213,735,3840,4575,Normal
2011/5/20,0.125013,909,4008,4917,Normal
